"","plate","well","rsq_x","row","column","media","edge","strain","starve","rep","y0","y0_lm","mumax","lag"
"1",1,"A2",0.997645610887858,"A",2,"succ",1,"kb","0","a",0.02,0.00416970354549565,0.269086917296419,5.82669476550799
"2",1,"A4",0.991169442900303,"A",4,"succ",1,"kb","2","a",0.019,0.00465547419733366,0.233636812539265,6.01957880676002
"3",1,"A6",0.992020688399167,"A",6,"succ",1,"kb","4","a",0.012,0.000987171471183866,0.272008630498907,9.18286368404906
"4",1,"A7",0.996784339073833,"A",7,"succ",1,"kb","6","a",0.016,0.000465296592893379,0.254731326356463,13.8878441665809
"5",1,"B2",0.996322824435614,"B",2,"succ",0,"kb","0","b",0.017,0.0050573165283188,0.254368842584003,4.76621790423539
"6",1,"B4",0.995501176556646,"B",4,"succ",0,"kb","2","b",0.023,0.00388665267232672,0.236644046612657,7.51316565843558
"7",1,"B6",0.991162660613892,"B",6,"succ",0,"kb","4","b",0.013,0.0011971709062608,0.254051487442684,9.38781420354655
"8",1,"B7",0.997725588095798,"B",7,"succ",0,"kb","6","b",0.012,0.000367290474836618,0.253208436135939,13.7693236545013
"9",1,"C2",0.997874642428381,"C",2,"succ",0,"kb","0","c",0.016,0.00452815804537806,0.260129018151614,4.85249007166796
"10",1,"C4",0.997403793152489,"C",4,"succ",0,"kb","2","c",0.016,0.00332777390080939,0.243639435661862,6.44511893479673
"11",1,"C6",0.997046865322368,"C",6,"succ",0,"kb","4","c",0.017,0.00125860839977986,0.250335404043642,10.3988754127904
"12",1,"C7",0.998190196750064,"C",7,"succ",0,"kb","6","c",0.013,0.000364087210355068,0.253413374088169,14.1086129391588
"13",1,"D2",0.997935912274637,"D",2,"succ",0,"wt","0","a",0.028,0.00683651462256212,0.231664802758938,6.08606249082071
"14",1,"D4",0.991485268920079,"D",4,"succ",0,"wt","2","a",0.033,0.00668234335151711,0.225531736658001,7.08121552192324
"15",1,"D6",0.996078357882519,"D",6,"succ",0,"wt","4","a",0.018,0.00498952684627355,0.230394442829523,5.56884383693185
"16",1,"D7",0.995643514230181,"D",7,"succ",0,"wt","6","a",0.02,0.00438247693565836,0.224850767920739,6.75167006375204
"17",1,"E2",0.998307199824574,"E",2,"succ",0,"wt","0","b",0.029,0.00684711137051958,0.240300116572987,6.00694242255091
"18",1,"E4",0.99696739067699,"E",4,"succ",0,"wt","2","b",0.029,0.00701710089396924,0.223970776950463,6.33540542491657
"19",1,"E6",0.996697080650864,"E",6,"succ",0,"wt","4","b",0.016,0.00490273341065274,0.233861903438019,5.05766786449783
"20",1,"E7",0.997470184292575,"E",7,"succ",0,"wt","6","b",0.016,0.00454023449439214,0.226648562341346,5.55754710182616
